"Marca temporal","1.Género","2.Edad  ","3.¿De qué tipo de colegio egresaste como bachiller?  ","4.¿A qué facultad perteneces?  ","5.¿Qué carrera estudias?  ","6.¿En qué semestre te encuentras actualmente?  ","7.¿Cuántas materias cursas actualmente este semestre?  ","8.¿Cuál es tu Promedio Ponderado Acumulado (PPA) del último semestre cursado?  ","9.¿Cuántas horas a la semana estudias fuera de tu horario de clases?  ","10.¿Cuál es tu estatura aproximada? (metros)  ","11.¿Trabajas actualmente?  ","12.¿Cuál es la distancia aproximada desde tu vivienda hasta la UAGRM?  "," 13.Tiempo promedio de traslado desde su vivienda a la UAGRM  "
"2026/06/25 11:55:59 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","3 a 4 materias","70","4 ","1 50","No trabajo actualmente","Entre 25 y 30 km","2"
"2026/06/25 11:57:28 p.m. GMT-4","Masculino","20","Colegio privado","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contabilidad","5to semestre","3 a 4 materias","20","8","1.85","No trabajo actualmente","Entre 2 y 5 km","15"
"2026/06/26 12:23:56 a.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","3er semestre","5 a 6 materias","60","6","1, 58","No trabajo actualmente","Más de 50 km","1"
"2026/06/26 6:08:32 a.m. GMT-4","Femenino","18","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","farmacia ","1er semestre","5 a 6 materias","Ninguno","2","1.60 m","No trabajo actualmente","Entre 20 y 25 km","40"
"2026/06/26 6:30:30 a.m. GMT-4","Femenino","18 ","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","1er semestre","1 a 2 materias","Todavía no salió "," 3  ","1.61","No trabajo actualmente","Entre 5 y 10 km"," 40 "
"2026/06/26 7:25:08 a.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica","1er semestre","5 a 6 materias","No lo sé","2 ","1.62","No trabajo actualmente","Entre 10 y 15 km","40 "
"2026/06/26 7:26:57 a.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquimica ","1er semestre","5 a 6 materias","Aún n tenemos eso ","4","1.55","No trabajo actualmente","Entre 20 y 25 km","2 "
"2026/06/26 7:33:46 a.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","80","1 ","1.56","No trabajo actualmente","Entre 2 y 5 km","25 "
"2026/06/26 7:42:56 a.m. GMT-4","Femenino","18","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","Aún nose","5 ","1,61","No trabajo actualmente","Más de 50 km","40 "
"2026/06/26 7:53:49 a.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias de la Salud Humana","Bioquímica ","1er semestre","3 a 4 materias","60","2","1.67","Sí, trabajo medio tiempo","Entre 30 y 35 km","1"
"2026/06/26 8:29:05 a.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica","1er semestre","3 a 4 materias","Nose","1","1.50","Sí, trabajo medio tiempo","Entre 45 y 50 km","1.30"
